chapter,topic,topic_name,context,question,other_instruction
4,4,Input Validation with Domain Checks,"When processing user numerical input, conditional logic (if/else) should validate mathematical domain constraints prior to function execution (e.g., preventing square roots of negative numbers or arcsine inputs outside [-1, 1]). Functions like math.asin(x) or math.log(x) raise ValueError if passed out-of-domain inputs.","Write a Python program that prompts the user for a number. If the number is outside the interval [-1, 1], print an error message. Otherwise, calculate and print math.asin(x).",Include user prompts and error handling logic.
4,5,Membership Operator (in),"The `in` keyword checks if a substring exists within a target string or if an element exists in a list, returning True or False. Negation can be checked using `not in` or `not (""sub"" in string)`.","What is the output of the following code?\nmy_string = ""red, orange, green, blue""\nif ""yellow"" not in my_string:\n    print(""Missing color"")",N/A
5,2,Using Exponents,The easiest way to use exponents is using a double asterisk. Use 1/2 for square root and 1/3 for cube root.,Write a program that takes in an int and outputs its fourth exponent and its cube root.,This question is supposed to teach the student on how to use exponents in Python.
5,1,Using Floor Division & Modulus,"To get the last digit of an int, take the modulo 10 of that number. To get the second to last digit, we floor divide by 10 and then take the modulo 10. And so on","Write a program that takes in a 4-digit int and outputs the third digit of the number. Use arithmetic only, and do not use string splicing.",This question is supposed to teach the student on how to get each separate digit of a number using arithmetic.
6,1,While Loops and Conditions,"A while loop repeats instructions as long as its conditional expression evaluates to True. It stops execution as soon as the condition becomes False. If a condition never becomes False, it creates an infinite loop.","Which of the following statements about Python while loops is True?
- A while loop repeats instructions until the condition is False.
- A while loop always executes a predetermined fixed number of times.
- A while loop evaluates its condition after running the loop body.
- A while loop will automatically terminate after 100 iterations.",N/A
6,2,For Loops and range() Function,"A for loop iterates over a fixed sequence of values (such as range() or a list). The function range(start, stop, step) counts from start up to, but NOT including, stop. Single argument range(N) counts from 0 to N-1.","What is the exact output printed by the following code snippet?
total = 10
for i in range(4):
    total -= 2 * i
print(total)",N/A
6,3,Loop Control: break Statement,"The break statement immediately terminates the loop it is placed inside. If used within nested loops, break only exits the innermost loop containing it and does not terminate the outer loop.",Does the break statement immediately terminate all surrounding nested loops when executed inside an inner loop? (True or False),N/A
6,4,Loop Control: continue Statement,The continue statement skips the remaining code inside the current loop iteration and immediately proceeds to evaluating the next iteration of the loop. It does not terminate the loop entirely.,"What integers will be printed by the following loop?
for i in range(5):
    if i == 2:
        continue
    print(i)",N/A
6,5,Accumulator Patterns and Iteration Logic,"Accumulator variables (like count or total) increment or update inside loops to track results across iterations. Loop counters can increment by variable steps (e.g., n += 1 or n += num) to check condition criteria such as divisibility.","Complete the missing loop header [A] and counter update [C] to count numbers between 1 and 100 inclusive divisible by num:
count = 0
[A]
    if n % num == 0:
        count [C]",Assume user input is assigned to variable num.
7,1,List Creation and Indexing Basics,A list is a sequence data type that can store multiple values of various types. List indexing starts at 0 for the first element and -1 for the last element. Accessing an index that does not exist results in an IndexError (out of bounds).,"Given mylist = [1, 2, 3, 4, 5], which of the following operations will NOT result in an error?
- print(mylist[5])
- mylist[-2] = 10
- mylist += 6
- print(mylist[0:2])",Select all valid options.
7,2,List Mutability and Slicing Operations,"List slicing uses my_list[start:stop:step] to return a sublist starting at start up to, but NOT including, stop. Leaving start blank defaults to the beginning, and leaving stop blank goes to the end. Slices can also be assigned to replace or insert elements in-place (e.g., mylist[2:2] = [6, 7]).","Given mylist = [1, 2, 3, 4, 5], what is the resulting list after executing mylist[3:3] = [6, 7]?",N/A
7,3,Appending vs Concatenating Lists,"The append() method adds a single element to the end of a list in-place (e.g., mylist.append(10)). The + or += operator combines two lists together. Adding a non-list variable to a list via += (e.g., mylist += x where x = 6) raises a TypeError because += expects an iterable.","Which of the following code snippets correctly adds an element to the end of mylist = [1, 2, 3]?
- mylist.append(4)
- mylist += [4]
- mylist += 4
- mylist[len(mylist)] = 4",Select all valid statements.
7,4,String Slicing and String/List Relations,"Strings behave similarly to immutable lists of characters. String slicing uses string[start:stop]. Concatenation with + joins strings together. The split() method breaks a string into a list by whitespace, and join() joins list elements into a string with a separator.","What is the output of the following code?
mystr = ""I love engineering""
mystr2 = ""I hate programming""
newstr = mystr[:7] + mystr2[-11:] + ""!""
print(newstr)",N/A
7,5,List Iteration and Loop Modifications,"You can iterate over a list directly using `for item in my_list` or by index using `for i in range(len(my_list))`. To modify elements in the original list inside a loop, you must access them by index (my_list[i] = ...).","Write the output of the following code:
grades = [90, 92, 95]
for i in range(5):
    grades.append(100 - i)
print(f""{len(grades)}{grades[6]}"")",No spaces in output.
8,1,Hierarchy and Tree Terminology,A hierarchy (often called a tree in computing) helps manage software complexity by providing coherency and conceptual separation. Individual elements are called nodes. The top-most node with no parents and many children is the root. Nodes at the bottom with parents but no children are leaf nodes.,"Which of the following statements about software hierarchy structures is TRUE?
- A node without children is called a root.
- In computing, a hierarchy is often referred to as a tree.
- The leaf node has no parents and many children.
- A hierarchy has little to do with managing complexity.",N/A
8,2,Top-Down Program Design Principles,Top-down program design approaches problem-solving by starting with the most general high-level concept and repeatedly dividing it into smaller sub-problems until implementation becomes straightforward. Top-down design should usually be the primary approach when designing solutions to programming tasks.,"In top-down program design, you start with the most general idea and repeatedly divide it into smaller pieces until implementation becomes obvious. (True or False)",N/A
8,3,Dictionary Syntax and Key-Value Mechanics,"Python dictionaries are defined using curly braces ({}) and store key-value pairs separated by colons (e.g., {'key': value}). Unlike lists that use integer indices, dictionaries use unique keys to access or reassign corresponding values.","How are Python dictionaries defined and how do they store data?
- Defined with square brackets [] using index numbers
- Defined with curly braces {} using key-value pairs
- Defined with parentheses () using positional arguments
- Defined with angle brackets <> using string lists",N/A
8,4,Dictionary Membership Testing via in Keyword,"The 'in' operator checks for the existence of KEYS within a dictionary (e.g., 'key' in mydict), returning True or False. It does NOT search dictionary VALUES. Checking if a value exists using 'in' directly on the dictionary evaluates to False.","Consider the following code:
mydict = {""September"": ""Labor Day"", ""October"": ""Fall Break""}
if ""Labor Day"" in mydict:
    print(""Exciting new semester!"")
elif ""October"" in mydict:
    print(""A much-needed break!"")
else:
    print(""Finals are coming!"")
What is printed to the terminal?",N/A
8,5,Dictionary Manipulation and Iteration,"New key-value pairs are added or updated using bracket assignment (mydict['new_key'] = value). Iterating over a dictionary with a for loop (for k in mydict) iterates over its keys, allowing access to values via mydict[k].","What is the output of the following code?
student_GPA = {""john"": 3.5, ""jane"": 3.75}
student_GPA[""joe""] = 2.1
for student in student_GPA:
    if student == ""joe"":
        print(student_GPA[student])",N/A
9,1,"Function Declaration, Headers, and Execution Order","A function is a section of reusable code defined using the `def` keyword followed by the function header. A function must be defined in the code BEFORE it is called, or Python will raise a NameError. Functions execute when invoked and return execution to the caller upon completion.","Which of the following statements regarding Python functions is TRUE?
- A function can be defined anywhere in the code, including after it is called.
- The function header is the first line of the function definition.
- The ""right"" way to access data inside a function is by using global variables rather than arguments.
- Functions must always return a value and cannot perform actions without returning.",N/A
9,2,Mutable vs Immutable Data Types,"Data types in Python are either mutable (can be changed in-place) or immutable (cannot be modified without reassignment). Immutable types include: integers, floats, booleans, strings, and tuples. Mutable types include: lists and dictionaries.","Which of the following Python data types are IMMUTABLE? Select all that apply:
- lists
- tuples
- integers
- booleans
- dictionaries
- strings",Select all valid options.
9,3,Variable Scope and Local vs Global Variables,"Variables defined inside a function are local to that function and are not shared or accessible outside. If a function reassigns a variable name that also exists globally, the local variable takes precedence within the function without modifying the global variable.","What is the output of the following code?
a = 10
def myfunc():
    a = 5
    print(a, end="""")

myfunc()
print(a, end="""")",N/A
9,4,Tuples and Nested Mutable Object Behavior,"Tuples are immutable sequences declared with parentheses `()`. They can return multiple values from functions via tuple unpacking (e.g., `a, b = myfunc()`). While a tuple itself cannot have its elements reassigned, if a tuple contains a mutable element (like a list), modifying that nested list in-place DOES alter the content inside the tuple.","What is the output of the following code?
myint = 1
mylist = [3, 2, 1]
mytup = (mylist, myint)
myint = 2029
mylist[0] = 10
print(mytup)",N/A
9,5,Writing Custom Functions with List Filtering,Functions can accept multiple parameters (including arbitrary-length lists) and return multiple values packaged as a tuple. List comprehensions or loop filters can separate list items based on conditional comparisons against specified threshold parameters.,"Write a Python function named big_small that takes three arguments: a list of integers, a big number, and a small number (in that order). The function should return two lists: the first containing numbers from the list strictly greater than the big number, and the second containing numbers strictly less than the small number.",Return two lists in a tuple.
10,1,"Categorizing Python Errors: Syntax, Runtime, and Logic","Python errors fall into three main categories: 1) Syntax Errors occur when typos or invalid syntax prevent compilation (e.g., missing colons, invalid assignments). 2) Runtime Errors (Exceptions) occur while running valid syntax due to invalid operations (e.g., ValueError when int() gets '5.4', TypeError when iterating an integer, ZeroDivisionError). 3) Logic Errors occur when valid code runs completely but outputs incorrect results.","If a program executes int(input(""Enter an integer: "")) and the user inputs '5.4', what category of error occurs?
- A syntax error
- A run-time error
- A logic error
- There is no error, the code works as intended.",N/A
10,2,Try-Except Error Handling Mechanisms,"The try-except block prevents program termination upon encountering runtime exceptions. Code inside the try block executes until an error occurs, whereupon execution immediately switches to the except block. Specific exception types like TypeError, IndexError, ZeroDivisionError, or NameError can be caught individually.","What is printed when the following code is executed?
my_list = [1, 2, 3, 4]
try:
    my_list[5] = 5
    print(""Success"")
except IndexError:
    print(""Handled Out-Of-Bounds Index"")
except:
    print(""General Error"")",N/A
10,3,Debugging Process and Assert Statements,"Systematic debugging uses the DRIFT framework: Discover, Reproduce, Isolate, Fix, Test. The assert statement checks if a boolean condition holds true, raising an AssertionError with a custom error message if the condition fails (e.g., assert x > 0, ""x must be positive"").","What happens when the code assert y < 4, ""y is not less than 4"" executes when y = 7?
- The code ignores the line and continues execution.
- A SyntaxError is raised.
- An AssertionError with the message ""y is not less than 4"" is raised.
- It prints ""y is not less than 4"" to the console without interrupting execution.",N/A
10,4,Spotting Syntax vs Runtime Errors in Loops,"Attempting to iterate over a non-iterable data type (e.g., `for n in num:` where num is an integer) raises a TypeError runtime error. Omitting required syntax components like colons after loop headers or quotes in print f-strings results in immediate SyntaxErrors prior to execution.","Consider the following code snippet:
num = int(input(""Enter an integer: ""))
for n in num:
    print(n)
Which type of bug is present on line 2?
- Syntax Error
- Run-Time Error (TypeError)
- Logic Error
- No error",N/A
10,5,Identifying Logic Errors in Mathematical Algorithms,"Logic errors stem from faulty program reasoning, such as using incorrect relational operators (e.g., `if num[j] == num[-1-j]` instead of `!=` when searching for non-matching characters), incorrect string comparisons, or missing updates in mathematical accumulators.","In a palindrome checking loop, what type of bug is created when using `if num[j] == num[-1-j]: ispal = False` instead of checking for inequality (`!=`)?
- Syntax Error
- Run-Time Error
- Logic Error
- Compilation Error",N/A
11,1,File Access Modes and Open/Close Syntax,"Files in Python are opened using open(filename, mode) and must be closed using .close() to prevent memory leaks or file corruption. Standard file mode designators include: 'r' (read-only), 'w' (write; overwrites existing file or creates new), and 'a' (append; adds to the end of existing file).","Which file mode designator should be used with open() to write data to a brand-new file or overwrite an existing file?
- 'r'
- 'w'
- 'a'
- 'x+'",N/A
11,2,File Reading Methods Comparison,"Python provides multiple methods to read data: .read() returns the entire file content as a single string; .readline() reads a single line at a time; and .readlines() reads all lines into a list of strings, where each element corresponds to a line including its trailing newline character (\n).","What data type is returned when calling the .readlines() method on an open file object?
- A single unified string
- A list of string lines
- A dictionary of line numbers and text
- A tuple of integers",N/A
11,3,String Cleaning and Delimiter Parsing,"When processing file lines, .strip() removes leading and trailing whitespace, tabs, and newline characters (\n). The .split(delimiter) method breaks a string into a list of substring components based on a specified delimiter character (such as commas, colons, or semicolons).","What is the result of executing ""   data_line\n  "".strip()?
- ""data_line\n""
- ""data_line""
- ""   data_line""
- [""data_line""]",N/A
11,4,Writing to Files and Formatting,"The .write() method writes a string to an open file. Unlike print(), .write() does NOT automatically append a newline character at the end; developers must explicitly concatenate escape sequences like '\n'. Additionally, non-string data types (ints, floats) must be converted using str() before writing.","What occurs if you attempt to write an integer directly using file.write(100) without explicit type conversion?
- It automatically converts 100 to a string and writes it.
- It writes the ASCII character corresponding to 100.
- A TypeError is raised because .write() requires a string parameter.
- It appends 100 on a new line automatically.",N/A
11,5,Context Managers using with-as Blocks,"The 'with open(...) as file_variable:' block acts as a context manager that automatically handles closing the file once execution leaves the indented block, even if runtime exceptions or errors occur within the block.","What is the primary advantage of accessing files using the 'with open(...) as file:' syntax over standard open/close calls?
- It allows reading files without specifying file modes.
- It automatically closes the file upon exiting the indented block, preventing resource leaks.
- It automatically converts all numerical strings to floats.
- It bypasses operating system permission errors.",N/A
